horizon,eval_559-ws-testing_base_line_model_plus_physio_all12_mae,eval_559-ws-testing_base_line_model_plus_physio_all12_rmse,eval_559-ws-testing_base_line_no_future_all12_mae,eval_559-ws-testing_base_line_no_future_all12_rmse,eval_559-ws-testing_base_line_physio_only_all12_mae,eval_559-ws-testing_base_line_physio_only_all12_rmse,eval_559-ws-testing_base_line_with_future_all12_mae,eval_559-ws-testing_base_line_with_future_all12_rmse,eval_559-ws-testing_fine_tuned_model_plus_physio_all12_mae,eval_559-ws-testing_fine_tuned_model_plus_physio_all12_rmse,eval_559-ws-testing_fine_tuned_no_future_all12_mae,eval_559-ws-testing_fine_tuned_no_future_all12_rmse,eval_559-ws-testing_fine_tuned_physio_only_all12_mae,eval_559-ws-testing_fine_tuned_physio_only_all12_rmse,eval_559-ws-testing_fine_tuned_with_future_all12_mae,eval_559-ws-testing_fine_tuned_with_future_all12_rmse,eval_559-ws-testing_single_model_plus_physio_all12_mae,eval_559-ws-testing_single_model_plus_physio_all12_rmse,eval_559-ws-testing_single_no_future_all12_mae,eval_559-ws-testing_single_no_future_all12_rmse,eval_559-ws-testing_single_physio_only_all12_mae,eval_559-ws-testing_single_physio_only_all12_rmse,eval_559-ws-testing_single_with_future_all12_mae,eval_559-ws-testing_single_with_future_all12_rmse
1,2.1963,3.8127,2.1963,3.8127,3.1485,4.9112,2.1963,3.8127,2.5581,4.0955,2.5581,4.0955,3.1485,4.9112,2.5581,4.0955,2.9194,5.0137,2.9194,5.0137,3.1485,4.9112,2.9194,5.0137
2,5.1887,8.0118,5.1553,7.9743,5.9685,8.8969,5.1539,7.9729,5.3047,7.971,5.2756,7.9311,5.9685,8.8969,5.3187,7.9768,5.9236,8.7559,5.8956,8.7241,5.9685,8.8969,5.851,8.6968
3,7.5671,11.4125,7.4283,11.2201,8.6559,12.6802,7.4096,11.2184,7.5098,11.1797,7.3689,10.9738,8.6559,12.6802,7.4795,11.0922,8.9948,12.8843,8.8635,12.7117,8.6559,12.6802,8.7528,12.6172
4,10.1624,15.1484,9.7727,14.5443,11.3579,16.4982,9.7282,14.5276,10.0004,14.8267,9.6068,14.1836,11.3579,16.4982,9.734,14.3113,11.889,16.8563,11.5111,16.3054,11.3579,16.4982,11.3001,16.1117
5,12.9531,19.1586,12.1083,17.7332,14.1672,20.5262,12.0306,17.6988,12.6064,18.7264,11.7437,17.2116,14.1672,20.5262,11.8773,17.3434,14.7494,20.873,13.94,19.5572,14.1672,20.5262,13.6235,19.2578
6,15.9486,23.6227,14.357,20.7528,17.1779,24.9883,14.2347,20.6969,15.382,23.0814,13.7524,20.0316,17.1779,24.9883,13.8859,20.1612,17.7776,25.2844,16.2215,22.6099,17.1779,24.9883,15.7938,22.2008
7,19.2753,28.8622,16.4966,23.6254,20.5062,30.2115,16.3321,23.5492,18.4969,28.2283,15.6379,22.6596,20.5062,30.2115,15.7653,22.7937,21.131,30.4599,18.4026,25.5424,20.5062,30.2115,17.877,25.024
8,23.1579,35.2933,18.5603,26.3795,24.3998,36.6193,18.3491,26.2841,22.1913,34.6168,17.4334,25.1413,24.3998,36.6193,17.5503,25.2817,25.1023,36.8232,20.5669,28.3968,24.3998,36.6193,19.938,27.7657
9,27.8935,43.3978,20.5545,29.0099,29.1412,44.7001,20.2896,28.8958,26.6778,42.74,19.1578,27.4768,29.1412,44.7001,19.2654,27.6271,29.9761,44.8453,22.6919,31.1604,29.1412,44.7001,21.9434,30.4128
10,33.8079,53.8487,22.4787,31.5302,35.064,55.1263,22.1557,31.3925,32.3328,53.2795,20.7922,29.687,35.064,55.1263,20.9047,29.8386,36.0152,55.1902,24.7623,33.8362,35.064,55.1263,23.9107,32.9676
11,41.644,68.0958,24.4025,33.9635,42.8788,69.3491,24.0055,33.7981,39.9362,67.6953,22.3802,31.8,42.8788,69.3491,22.4419,31.9505,43.9477,69.3031,26.7795,36.4473,42.8788,69.3491,25.8018,35.449
12,54.3092,92.2636,26.2698,36.314,55.5018,93.4762,25.8089,36.1205,52.4879,92.1335,23.9094,33.8106,55.5018,93.4762,23.9283,33.9692,56.6184,93.267,28.7225,38.9841,55.5018,93.4762,27.6357,37.8537
